[2025-06-13 20:26:34] USER_REGISTERED | UserID: 4 | Email: sims@gmail.com | Name: Sims Rade
[2025-06-13 20:26:43] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 20:45:04] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 20:51:10] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 20:54:32] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 21:48:26] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:10:12] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:18:06] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:21:47] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:24:28] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:28:32] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:30:53] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:36:39] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:37:28] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:38:45] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:42:16] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:44:15] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:45:12] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:48:54] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:56:31] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 22:58:13] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 23:00:48] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 23:02:24] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 23:07:07] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
[2025-06-13 23:19:39] USER_LOGIN | UserID: 4 | Email: sims@gmail.com
